month,orders,delivered_orders,gmv,avg_order_value
2016-09,4,1,354.75,118.25
2016-10,324,265,56808.840000000004,184.44428571428574
2016-12,1,1,19.62,19.62
2017-01,800,750,137188.49,173.87641318124207
2017-02,1780,1653,286280.62,165.1936641661858
2017-03,2682,2546,432048.59,163.59280196895116
2017-04,2404,2303,412422.24,172.48943538268506
2017-05,3700,3546,586190.95,160.16146174863385
2017-06,3245,3135,502963.04,156.34536524712465
2017-07,4026,3872,584971.62,147.38513983371126
2017-08,4331,4193,668204.6,155.64980200326113
2017-09,4285,4150,720398.91,169.7852722130568
2017-10,4631,4478,769312.37,168.41339098073556
2017-11,7544,7289,1179143.77,158.25308951818548
2017-12,5673,5513,863547.23,153.5468047652916
2018-01,7269,7069,1107301.89,153.36591274238225
2018-02,6728,6555,986908.96,147.4318733193905
2018-03,7211,7003,1155126.82,160.70211741791877
2018-04,6939,6798,1159698.04,167.2480588404961
2018-05,6873,6749,1149781.82,167.7778812199037
2018-06,6167,6099,1022677.11,166.01901136363637
2018-07,6292,6159,1058728.03,168.77539135979595
2018-08,6512,6351,1003308.47,155.50348264104153
2018-09,16,0,166.46,166.46
2018-10,4,0,0.0,
